"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-07-20","80","86","72",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-07-21","81","87","76",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-07-22","82","90","78",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-07-23","82","89","77",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-07-24","82","88","77",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-07-25","81","88","76",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-07-26","82","90","74",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-07-27","82","89","77",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-07-28","82","90","78",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-07-29","82","89","77",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-07-30","81","89","77",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-07-31","82","90","77",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-08-01","82","89","78",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-08-02","83","89","79",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-08-03","83","90","78",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-08-04","83","89","79",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-08-05","82","89","78",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-08-06","82","88","75",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-08-07","82","89","76",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-08-08","81","87","77",
